Type,Class,Month,Year,Price
Carabao,Class E,April,2017,100
Carabao,Class E,May,2017,95
Carabao,Class E,June,2017,90
Carabao,Class E,July,2017,95
Carabao,Class E,August,2017,120
Carabao,Class E,September,2017,120
Carabao,Class E,October,2017,120
Carabao,Class E,November,2017,120
Carabao,Class E,December,2017,140
Carabao,Class E,January,2018,160
Carabao,Class E,February,2018,160
Carabao,Class E,March,2018,160
Carabao,Class E,April,2018,120
Carabao,Class E,May,2018,120
Carabao,Class E,June,2018,100
Carabao,Class E,July,2018,100
Carabao,Class E,August,2018,100
Carabao,Class E,September,2018,100
Carabao,Class E,October,2018,130
Carabao,Class E,November,2018,150
Carabao,Class E,December,2018,130
Carabao,Class E,January,2019,120
Carabao,Class E,February,2019,120
Carabao,Class E,March,2019,120
Carabao,Class E,April,2019,120
Carabao,Class E,May,2019,100
Carabao,Class E,June,2019,80
Carabao,Class E,July,2019,100
Carabao,Class E,August,2019,170
Carabao,Class E,September,2019,200
Carabao,Class E,October,2019,150
Carabao,Class E,November,2019,170
Carabao,Class E,December,2019,150
Carabao,Class E,January,2020,150
Carabao,Class E,February,2020,150
Carabao,Class E,March,2020,150
Carabao,Class E,April,2020,160
Carabao,Class E,May,2020,145
Carabao,Class E,June,2020,100
Carabao,Class E,July,2020,130
Carabao,Class E,August,2020,140
Carabao,Class E,September,2020,150
Carabao,Class E,October,2020,150
Carabao,Class E,November,2020,150
Carabao,Class E,December,2020,150
Carabao,Class E,January,2021,200
Carabao,Class E,February,2021,160
Carabao,Class E,March,2021,150
Carabao,Class E,April,2021,150
Carabao,Class E,May,2021,140
Carabao,Class E,June,2021,100
Carabao,Class E,July,2021,150
Carabao,Class E,August,2021,180
Carabao,Class E,September,2021,180
Carabao,Class E,October,2021,180
Carabao,Class E,November,2021,170
Carabao,Class E,December,2021,180
Carabao,Class E,January,2022,180
Carabao,Class E,February,2022,180
Carabao,Class E,March,2022,140
Carabao,Class E,April,2022,120
Carabao,Class E,May,2022,120
Carabao,Class E,June,2022,120
Carabao,Class E,July,2022,200
Carabao,Class E,August,2022,200
Carabao,Class E,September,2022,220
Carabao,Class E,October,2022,180
Carabao,Class E,November,2022,180
Carabao,Class E,December,2022,180
Carabao,Class E,January,2023,180
Carabao,Class E,February,2023,180
Carabao,Class E,March,2023,180
Carabao,Class E,April,2023,180
Carabao,Class E,May,2023,150
Carabao,Class E,June,2023,150
Carabao,Class E,July,2023,160
Carabao,Class E,August,2023,150
Carabao,Class E,September,2023,280
Carabao,Class E,October,2023,190
Carabao,Class E,November,2023,180
Carabao,Class E,December,2023,180
Carabao,Class E,January,2024,180
Carabao,Class E,February,2024,180
Carabao,Class E,March,2024,150
Carabao,Class E,April,2024,150
Carabao,Class E,May,2024,100
Indian,Class A,January,2014,101
Indian,Class A,February,2014,79
Indian,Class A,March,2014,79
Indian,Class A,April,2014,79
Indian,Class A,May,2014,79
Indian,Class A,June,2014,90
Indian,Class A,July,2014,112
Indian,Class A,August,2014,112
Indian,Class A,September,2014,112
Indian,Class A,October,2014,135
Indian,Class A,November,2014,112
Indian,Class A,December,2014,112
Indian,Class A,January,2015,112
Indian,Class A,February,2015,112
Indian,Class A,March,2015,112
Indian,Class A,April,2015,90
Indian,Class A,May,2015,79
Indian,Class A,June,2015,56
Indian,Class A,July,2015,79
Indian,Class A,August,2015,135
Indian,Class A,September,2015,135
Indian,Class A,October,2015,168
Indian,Class A,November,2015,135
Indian,Class A,December,2015,135
Indian,Class A,January,2016,202
Indian,Class A,February,2016,135
Indian,Class A,March,2016,135
Indian,Class A,April,2016,135
Indian,Class A,May,2016,101
Indian,Class A,June,2016,101
Indian,Class A,July,2016,112
Indian,Class A,August,2016,168
Indian,Class A,September,2016,202
Indian,Class A,October,2016,225
Indian,Class A,November,2016,225
Indian,Class A,December,2016,202
Indian,Class A,January,2017,202
Indian,Class A,February,2017,112
Indian,Class A,March,2017,180
Indian,Class A,April,2017,135
Indian,Class A,May,2017,152
Indian,Class A,June,2017,101
Indian,Class A,July,2017,135
Indian,Class A,August,2017,135
Indian,Class A,September,2017,168
Indian,Class A,October,2017,157
Indian,Class A,November,2017,202
Indian,Class A,December,2017,202
Indian,Class A,January,2018,225
Indian,Class A,February,2018,225
Indian,Class A,March,2018,225
Indian,Class A,April,2018,135
Indian,Class A,May,2018,135
Indian,Class A,June,2018,124
Indian,Class A,July,2018,124
Indian,Class A,August,2018,124
Indian,Class A,September,2018,124
Indian,Class A,October,2018,180
Indian,Class A,November,2018,202
Indian,Class A,December,2018,180
Indian,Class A,January,2019,180
Indian,Class A,February,2019,157
Indian,Class A,March,2019,146
Indian,Class A,April,2019,157
Indian,Class A,May,2019,135
Indian,Class A,June,2019,112
Indian,Class A,July,2019,270
Indian,Class A,August,2019,270
Indian,Class A,September,2019,281
Indian,Class A,October,2019,225
Indian,Class A,November,2019,225
Indian,Class A,December,2019,180
Indian,Class A,January,2020,180
Indian,Class A,February,2020,168
Indian,Class A,March,2020,180
Indian,Class A,April,2020,180
Indian,Class A,May,2020,180
Indian,Class A,June,2020,135
Indian,Class A,July,2020,157
Indian,Class A,August,2020,174
Indian,Class A,September,2020,202
Indian,Class A,October,2020,202
Indian,Class A,November,2020,168
Indian,Class A,December,2020,225
Indian,Class A,January,2021,337
Indian,Class A,February,2021,225
Indian,Class A,March,2021,191
Indian,Class A,April,2021,174
Indian,Class A,May,2021,180
Indian,Class A,June,2021,112
Indian,Class A,July,2021,180
Indian,Class A,August,2021,202
Indian,Class A,September,2021,202
Indian,Class A,October,2021,202
Indian,Class A,November,2021,225
Indian,Class A,December,2021,202
Indian,Class A,January,2022,202
Indian,Class A,February,2022,202
Indian,Class A,March,2022,168
Indian,Class A,April,2022,157
Indian,Class A,May,2022,146
Indian,Class A,June,2022,202
Indian,Class A,July,2022,225
Indian,Class A,August,2022,225
Indian,Class A,September,2022,225
Indian,Class A,October,2022,247
Indian,Class A,November,2022,202
Indian,Class A,December,2022,202
Indian,Class A,January,2023,202
Indian,Class A,February,2023,202
Indian,Class A,March,2023,225
Indian,Class A,April,2023,202
Indian,Class A,May,2023,191
Indian,Class A,June,2023,180
Indian,Class A,July,2023,225
Indian,Class A,August,2023,168
Indian,Class A,September,2023,314
Indian,Class A,October,2023,314
Indian,Class A,November,2023,225
Indian,Class A,December,2023,225
Indian,Class A,January,2024,225
Indian,Class A,February,2024,202
Indian,Class A,March,2024,202
Indian,Class A,April,2024,168
Indian,Class A,May,2024,135
Indian,Class B,January,2014,95.5
Indian,Class B,February,2014,79
